id,name,nrate,pic_url
12942,No Thanks!,16402,https://cf.geekdo-images.com/micro/img/qVnceYzyGPCA4j086qpauyQ-aE0=/fit-in/64x64/pic3989551.png
100901,Flash Point: Fire Rescue,16357,https://cf.geekdo-images.com/micro/img/cuaA8OFz-bq5cBUujXwje7eqqsg=/fit-in/64x64/pic1129370.jpg
25613,Through the Ages: A Story of Civilization,16337,https://cf.geekdo-images.com/micro/img/1QK86CXz-ADCCIB_eSRCmr3Uws4=/fit-in/64x64/pic236169.jpg
5,Acquire,16296,https://cf.geekdo-images.com/micro/img/SR4x4YjZk7UEc8HPUs8e55RhyqM=/fit-in/64x64/pic3299296.jpg
37046,Ghost Stories,16198,https://cf.geekdo-images.com/micro/img/WyfabLJtxILhVejAcwpIxdpAdJE=/fit-in/64x64/pic1790243.jpg
153938,Camel Up,16082,https://cf.geekdo-images.com/micro/img/dqJq522cyJZlQ2JkN6ilw0h1qn4=/fit-in/64x64/pic2031446.png
158899,Colt Express,16079,https://cf.geekdo-images.com/micro/img/mqU-zWjnQxsAE38KzQ9I1-Rj6Bs=/fit-in/64x64/pic2869710.jpg
108745,Seasons,16075,https://cf.geekdo-images.com/micro/img/cZDPGO-cc3ZhcKTwpkYPoyQybfE=/fit-in/64x64/pic1299390.jpg
21790,Thurn and Taxis,16042,https://cf.geekdo-images.com/micro/img/y19kse6oB1YUteRnHx15QKvfub4=/fit-in/64x64/pic115300.jpg
146508,T.I.M.E Stories,15919,https://cf.geekdo-images.com/micro/img/O4_5v62RN0HAdudIRPyuCQwYzGs=/fit-in/64x64/pic2617634.png
104006,Village,15860,https://cf.geekdo-images.com/micro/img/EQVwu9aF1NRS7ABFTvrlyhczZ-0=/fit-in/64x64/pic2760568.jpg
2653,Survive: Escape from Atlantis!,15813,https://cf.geekdo-images.com/micro/img/89KJ_lUY2u_am94dHy3IRb7RGeg=/fit-in/64x64/pic1300182.png
74,Apples to Apples,15657,https://cf.geekdo-images.com/micro/img/22jdvqQIY2QopBIIVpRaN3rXt8A=/fit-in/64x64/pic213515.jpg
174430,Gloomhaven,15566,https://cf.geekdo-images.com/micro/img/8JYMPXdcBg_UHddwzq64H4NBduY=/fit-in/64x64/pic2437871.jpg
154203,Imperial Settlers,15430,https://cf.geekdo-images.com/micro/img/oH_fmX7kSa0vVVoYMM3N9scwCE8=/fit-in/64x64/pic2871265.jpg
107529,Kingdom Builder,15376,https://cf.geekdo-images.com/micro/img/UHt7ZGYxM_3dVhHMORCQ0XN4LKg=/fit-in/64x64/pic1152359.jpg
124361,Concordia,15362,https://cf.geekdo-images.com/micro/img/-o5nMvz9MGbYVnDDGh1_Xq7P84w=/fit-in/64x64/pic3453267.jpg
129437,Legendary: A Marvel Deck Building Game,15319,https://cf.geekdo-images.com/micro/img/qBFi8JNdyRmI5QOR-1gxq-IsPqI=/fit-in/64x64/pic1430769.jpg
2223,UNO,15182,https://cf.geekdo-images.com/micro/img/ie1KLRsaftfW2cuPoM5Ts99n2x4=/fit-in/64x64/pic981505.jpg
54,Tikal,15146,https://cf.geekdo-images.com/micro/img/R4FatieDKhfH-2QfaiklhWW1zBY=/fit-in/64x64/pic3328391.jpg
5782,Coloretto,14998,https://cf.geekdo-images.com/micro/img/U4veyoPMo2WquOZKs0ZhN450wdU=/fit-in/64x64/pic149765.jpg
164153,Star Wars: Imperial Assault,14610,https://cf.geekdo-images.com/micro/img/63Sh2j1jrcw1Igy5AkZdL8CAGD4=/fit-in/64x64/pic2247647.jpg
